
NOTICE: Existing SQLite export found: prod_nsys.sqlite
        It is assumed file was previously exported from: prod_nsys.nsys-rep
        Consider using --force-export=true if needed.

Processing [prod_nsys.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
0.2,570.5433,12384,0.0461,0.0021,0.0017,2.2320,0.2013,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,520.3580,512,1.0163,0.8780,0.8646,2.2453,0.2845,nvjet_tst_192x192_64x3_2x1_v_bz_coopB_NNN
0.2,433.1843,1632,0.2654,0.2304,0.0082,1.2724,0.1262,nvjet_tst_128x256_64x4_2x1_v_bz_coopA_NTN
0.1,333.3832,4032,0.0827,0.0259,0.0123,1.3045,0.1477,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,322.7952,640,0.5044,0.0914,0.0904,2.9804,0.8199,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16, c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,319.2514,5888,0.0542,0.0196,0.0042,1.3338,0.0948,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::BFloat16, (int)4, (int)8>>(T3)"
0.1,274.5699,448,0.6129,0.1267,0.0762,4.1158,0.8732,"void <unnamed>::indexing_backward_kernel<c10::BFloat16, (int)4>(const long *, const long *, const T1 *, T1 *, long, long, long, long, bool)"
0.1,227.1538,32,7.0986,6.9340,6.9180,8.0190,0.3142,"void precomputed_convolve_sgemm<__nv_bfloat16, (int)128, (int)6, (int)7, (int)3, (int)3, (int)5, (int)1, (bool)0>(int, int, int, const T1 *, int, T1 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, const T1 *, const T1 *, int *)"
0.1,202.6193,31744,0.0064,0.0065,0.0036,0.4618,0.0027,artiPropagateRigidImpulsesAndSolveSelfConstraintsTGS1T
0.1,180.9186,1312,0.1379,0.0275,0.0251,1.6519,0.2332,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<c10::BFloat16, float, (bool)0>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)"
0.1,171.0271,512,0.3340,0.3371,0.2520,0.3833,0.0213,doSelfCollision
0.1,151.5208,288,0.5261,0.5019,0.4984,1.2926,0.1340,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<c10::BFloat16, float, (unsigned int)32, (unsigned int)32, (unsigned int)256, (bool)0, (bool)1, (bool)0>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)"
0.1,149.8434,10752,0.0139,0.0018,0.0011,2.0276,0.0819,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,142.2282,31744,0.0045,0.0044,0.0037,0.0071,0.0002,markActiveSlabTGS
0.1,140.1769,136,1.0307,1.0307,1.0296,1.0329,0.0008,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_128x128_32x5_nhwc_align8>(T1::Params)
0.1,127.3198,32,3.9787,3.7054,3.6842,4.8656,0.4023,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN
0.1,120.5933,640,0.1884,0.0787,0.0760,1.3640,0.2173,"void pytorch_flash::flash_bwd_convert_dq_kernel<Flash_bwd_kernel_traits<(int)64, (int)128, (int)128, (int)8, (int)4, (int)4, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)8, cutlass::bfloat16_t>>>(pytorch_flash::Flash_bwd_params, int)"
0.0,104.2490,6936,0.0150,0.0020,0.0014,1.1985,0.0555,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,103.8713,640,0.1623,0.0551,0.0537,1.3425,0.2219,"void pytorch_flash::flash_bwd_dot_do_o_kernel<(bool)1, Flash_bwd_kernel_traits<(int)64, (int)128, (int)128, (int)8, (int)4, (int)4, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)8, cutlass::bfloat16_t>>>(pytorch_flash::Flash_bwd_params)"
0.0,89.5937,31744,0.0028,0.0028,0.0026,0.0034,0.0001,computeAverageSolverBodyVelocityTGS
0.0,83.0341,31744,0.0026,0.0026,0.0013,0.0033,0.0002,propagateAverageSolverBodyVelocityTGS
0.0,77.1862,2192,0.0352,0.0025,0.0019,1.7709,0.2127,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,68.8447,10608,0.0065,0.0067,0.0034,0.0079,0.0008,nvjet_tst_64x8_64x16_4x1_v_bz_bias_TNT
0.0,65.6450,512,0.1282,0.1268,0.1164,0.1647,0.0079,doAggPairCollisions
0.0,64.0619,512,0.1251,0.1204,0.1195,0.1459,0.0084,computeMassMatrix1T
0.0,64.0127,31744,0.0020,0.0021,0.0016,0.0036,0.0002,artiSolveInternalTendonAndMimicJointConstraints1T
